metric_key,value,source_file,source_row_filter,notes
corpus::n_books,20,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/dataset_profile_for_report.csv,unique(book_id),
corpus::n_chunks_total,21337,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/dataset_profile_for_report.csv,sum(T),
corpus::train_novels,16,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/dataset_profile_for_report.csv,"split=train,count_rows",
corpus::test_novels,4,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/dataset_profile_for_report.csv,"split=test,count_rows",
corpus::min_T,255,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/dataset_profile_for_report.csv,min(T),
corpus::max_T,4608,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/dataset_profile_for_report.csv,max(T),
ciw5::train::seed,42,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/model/linear_weights_indep_winsize_5.npz,seed[0],
ciw5::train::lr,0.009999999776482582,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/model/linear_weights_indep_winsize_5.npz,lr[0],
ciw5::train::epochs,200,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/model/linear_weights_indep_winsize_5.npz,epochs[0],
ciw5::train::batch_size,4096,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/model/linear_weights_indep_winsize_5.npz,batch_size[0],
ciw5::train::weight_decay,9.999999747378752e-05,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/model/linear_weights_indep_winsize_5.npz,weight_decay[0],
variant::CIW-5::test::rmse,0.7491747553212563,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::mae,0.6126898807235919,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::mae_ma5,0.2700797709681404,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::r2,0.0754962058964847,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::corr,0.3060171113206217,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::rank_trend_primary,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::rank_raw_error,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=test",
variant::CIW-5::test::rank_corr,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=test",
variant::NC-1::test::rmse,1.193406455648082,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::mae,1.0409904950519853,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::mae_ma5,0.4601437516674404,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::r2,0.1364288108451159,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::corr,0.3798104340860933,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::rank_trend_primary,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::rank_raw_error,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=test",
variant::NC-1::test::rank_corr,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=test",
variant::SW-5::test::rmse,0.9894678890586036,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::mae,0.7683564770726202,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::mae_ma5,0.6205727879276233,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::r2,0.1521354579023967,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::corr,0.4114789944901655,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::rank_trend_primary,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::rank_raw_error,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::rank_corr,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=test",
variant::CIW-5::train::rmse,0.7267016783125206,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::mae,0.5928899926035565,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::mae_ma5,0.244334372657005,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::r2,0.1931357382618147,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::corr,0.4395567739133157,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::rank_trend_primary,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::rank_raw_error,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::rank_corr,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=train",
variant::NC-1::train::rmse,1.2031723963562324,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::mae,1.0638713442120806,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::mae_ma5,0.4385374953598589,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::r2,0.1733823074200159,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::corr,0.4172721962917503,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::rank_trend_primary,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::rank_raw_error,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::rank_corr,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=train",
variant::SW-5::train::rmse,0.925105362910798,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::mae,0.7242764551551674,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::mae_ma5,0.5695069430998323,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::r2,0.2823224535123342,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::corr,0.5318945500169394,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::rank_trend_primary,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::rank_raw_error,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::rank_corr,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=train",
variant::CIW-5::test::mae_drop_raw_to_ma5,0.3426101097554515,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=test,mae-mae_ma5",
selected_variant_code,CIW-5,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"split=test,rank_trend_primary=1",Trend-fidelity-first criterion
teacher_pairwise::base__vs__winsize_5::mae,1.188639452594085,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=winsize_5",
teacher_pairwise::base__vs__winsize_5::exact_match,0.3601724703566574,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=winsize_5",
teacher_pairwise::base__vs__winsize_5::corr,0.3250332258245468,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=winsize_5",
teacher_pairwise::base__vs__indep_winsize_5::mae,1.0286357032385058,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=indep_winsize_5",
teacher_pairwise::base__vs__indep_winsize_5::exact_match,0.2521441627220321,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=indep_winsize_5",
teacher_pairwise::base__vs__indep_winsize_5::corr,0.348143452979386,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=indep_winsize_5",
teacher_pairwise::winsize_5__vs__indep_winsize_5::mae,1.194544687631813,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=winsize_5,variant_b=indep_winsize_5",
teacher_pairwise::winsize_5__vs__indep_winsize_5::exact_match,0.210385714955242,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=winsize_5,variant_b=indep_winsize_5",
teacher_pairwise::winsize_5__vs__indep_winsize_5::corr,0.2725280382822765,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=winsize_5,variant_b=indep_winsize_5",
cluster::feature::selected_method,kmeans,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::selected_k,5,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::silhouette,0.259789766423421,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::davies_bouldin,0.8875380398195549,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::calinski_harabasz,8.077047265314174,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::kmeans_stability_ari,0.892572279130657,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::dtw::selected_k,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=dtw,method=average,k=2",
