book_id,processed_dir,title,genre_primary,T,mean_speed,p95_speed,speed_std,mean_pc1,std_pc1,corr_pc1_position,sign_change_rate_pc1,mean_pc2,std_pc2,corr_pc2_position,sign_change_rate_pc2,mean_pc3,std_pc3,corr_pc3_position,sign_change_rate_pc3,mean_pc4,std_pc4,corr_pc4_position,sign_change_rate_pc4,mean_pc5,std_pc5,corr_pc5_position,sign_change_rate_pc5,sign_change_rate_mean
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,264,0.10467074872350182,0.18602381857745032,0.04407094590518535,-0.20918232069886994,0.07282899575020872,0.4598031490027309,0.0076045627376425855,-0.05700066236948425,0.08503690227351254,0.1724763273533358,0.13307984790874525,-0.04392293730228575,0.06344299141917292,0.2761313522938814,0.21292775665399238,-0.14870354893024673,0.07066218426107114,0.40741150169906193,0.015209125475285171,0.1134154327270208,0.07884444763938009,-0.2547274055592028,0.07604562737642585,0.08897338403041825
16,peter_pan,Peter Pan,Fantasy,471,0.1226986781304961,0.2219899658176635,0.05160831954756714,-0.24791849455193096,0.09282225557131457,0.16435132604731073,0.02127659574468085,-0.06060142199767876,0.13416686139623824,-0.0709371388044691,0.1148936170212766,0.007186244255734603,0.09585194564472863,0.13853705735527364,0.18723404255319148,-0.04378494526202258,0.11417019156512555,0.38355863370841653,0.11914893617021277,0.13819946918929205,0.09253627922186988,-0.19473788528259217,0.07234042553191489,0.10297872340425532
35,time_machine,The Time Machine,Sci-Fi,323,0.12452713373609196,0.23242151572322473,0.05329800679980189,-0.12965448036928295,0.07099788391912056,-0.034257680722581105,0.062111801242236024,-0.2443749060848549,0.0988993014152176,-0.3114698519216868,0.037267080745341616,-0.09139957383632567,0.10241865034150475,-0.31334757936873253,0.12732919254658384,-0.09401964107903164,0.11684198890634621,0.34593217122577047,0.15217391304347827,0.006916303672011792,0.09793892540401178,0.09979617000373142,0.20496894409937888,0.11677018633540373
36,war_worlds,The War of the Worlds,Sci-Fi,599,0.12005965971742295,0.22826385899660429,0.05639690276290513,-0.16338942049130276,0.06216778253863886,0.01898375701473284,0.016722408026755852,-0.28746555027908,0.10333003985337452,0.22355220592046735,0.0033444816053511705,0.04395948254731865,0.11583395973370215,-0.1382708859141279,0.15551839464882944,-0.03941822797060013,0.08583830746146946,0.04719465685952739,0.19899665551839466,-0.06211839579605499,0.0699573329158968,-0.03051565751797004,0.1605351170568562,0.10702341137123746
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,255,0.12383128992022846,0.23014429678919707,0.05467737061184411,-0.08623829226867825,0.054438854891906745,0.24393557816579925,0.047244094488188976,-0.0020959166042944966,0.0784108771698864,-0.29541020694398984,0.24803149606299213,0.03378704573374753,0.10117398017447614,-0.4348280687198151,0.17716535433070865,-0.05346450753071729,0.1004691661389147,0.5631637512261559,0.1141732283464567,-0.25405949701865516,0.08583592267402447,-0.1455998784084789,0.007874015748031496,0.1188976377952756
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,395,0.09498886615661427,0.1727758543691537,0.03946787302249416,-0.2770140242916119,0.061410183413492685,0.3716146096141188,0.0,-0.1667623485756826,0.07941525432473039,-0.04077210825003985,0.030456852791878174,-0.06236203266543489,0.057975577666220725,0.006555925035798629,0.1548223350253807,-0.19096061861779115,0.07514059961612603,-0.07709546200992921,0.0,0.22037631510933745,0.07029580676617296,0.02293620039748146,0.0,0.03705583756345178
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,749,0.14209212777935792,0.262302865847841,0.06514142962966588,-0.03477218217192807,0.09669074692428918,-0.036761668492062353,0.19518716577540107,-0.050980899129833813,0.16425917766141498,-0.04455767984530685,0.16176470588235295,-0.11847911736317407,0.13190992673620594,-0.1843575180063207,0.0962566844919786,0.09978082822822283,0.10924223743278498,0.30883511414294196,0.09358288770053476,-0.03616432095063385,0.12259955320569908,-0.1745927185097223,0.1163101604278075,0.13262032085561498
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,632,0.12060800058382906,0.21717842116678823,0.05378390719839827,0.00643880933204878,0.0717649491522142,-0.3358069961592827,0.23771790808240886,-0.19628668967870216,0.09816857504733689,-0.0810896538128112,0.03486529318541997,0.22849409194822318,0.12334748003737726,0.012261578533473597,0.03486529318541997,-0.033368501040047106,0.09362749868210601,0.2549593413378366,0.16798732171156894,0.004816696436816379,0.097656288944644,-0.15467780086412414,0.1648177496038035,0.12805071315372424
113,secret_garden,The Secret Garden,Children's Fiction,805,0.12126883972828895,0.23203142351763587,0.053458858572259495,-0.2676092615779142,0.06123199557462619,0.21056200536966838,0.0024875621890547263,0.0217365960804572,0.10140350806119382,-0.253307667315807,0.1865671641791045,-0.054770553223673045,0.08927063072852535,-0.13786006267069448,0.17786069651741293,-0.06025931254862258,0.06905598823021004,-0.07556279778385805,0.18407960199004975,0.08726399813472115,0.09065085687391039,-0.294616640313703,0.13308457711442787,0.13681592039800997
120,treasure_island,Treasure Island,Adventure,685,0.13048073977892796,0.22288470018477743,0.053888240234530725,-0.07923626867360878,0.06568171634193344,0.1166908636398847,0.13450292397660818,-0.18852261482146535,0.09741233905303184,-0.24501106666322267,0.03216374269005848,0.22582948231784097,0.10487067477204667,-0.07907313848255113,0.029239766081871343,0.10759694288029288,0.09180674340112595,0.16707814770570031,0.11403508771929824,-0.0540530202651981,0.11080603152604408,-0.07420169715128527,0.13450292397660818,0.08888888888888888
175,phantom_opera,The Phantom of the Opera,Gothic,854,0.1361572072909488,0.24903702189213378,0.05873664903084317,0.09636592774693385,0.11269850032323982,-0.07513132349220113,0.1336459554513482,-0.03221109285252714,0.12309787475961703,-0.5011970513052486,0.182883939038687,-0.154731629650813,0.11536881034246077,-0.022936002840567217,0.05861664712778429,-0.1708376236015656,0.09917966493250586,0.14882295707911491,0.06096131301289566,0.038260269299393794,0.1004649599851987,-0.10814402490391017,0.19460726846424384,0.1261430246189918
345,dracula,Dracula,Horror,1612,0.14259302883755628,0.25231047935169915,0.06128626860535679,-0.06488088264405062,0.09209636523558302,0.14518038486090157,0.15145872129112353,-0.06316324931201953,0.12807563708063605,-0.1110393787429853,0.16139044072004965,-0.07222506653854886,0.1417120499516238,-0.05930529982173333,0.13469894475481067,0.0037614307100549524,0.09918311601207855,0.15557602830934944,0.22346368715083798,-0.1152329598703692,0.11919886356403935,-0.28396106254885667,0.11793916821849783,0.15779019242706394
521,robinson_crusoe,Robinson Crusoe,Adventure,1208,0.1287796700386943,0.23476832787518465,0.05717745122208206,-0.04705109056517087,0.10132019647151871,0.2241235397167887,0.15410107705053852,-0.25329335867149744,0.09954088239016412,0.12172403740029196,0.009942004971002486,0.03800578086462723,0.14531431246834942,0.03934375268855254,0.14250207125103562,0.17965402631767538,0.11228085820362739,-0.06576844013697766,0.056338028169014086,0.05454667018331735,0.10780827907341774,-0.17986280515222733,0.1507870753935377,0.10273405136702567
768,wuthering_heights,Wuthering Heights,Gothic,1158,0.12519311178280584,0.23433588039659048,0.05871506510276587,-0.21384918546892817,0.07139437808062508,0.08649871770141358,0.006914433880726016,0.19111328465873714,0.09694142560576362,0.07538755607919605,0.05358686257562662,-0.09770978902328264,0.0774665581691942,-0.045872300896969996,0.12618841832324978,0.10154148010096299,0.07621384476700233,-0.002212677447794306,0.10025929127052723,-0.002731071099870563,0.08202835586187655,-0.052658995029164754,0.21175453759723423,0.09974070872947277
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,4608,0.1328512814712538,0.23942448433231134,0.057364695030872416,0.2253705946855512,0.10961247577779555,0.005010496428106069,0.03125678315606686,0.009672544519869715,0.13996558210290538,0.33298569263094935,0.14586498806164533,-0.028974514834064595,0.11709878579143514,-0.12963098482469387,0.17039288039939224,-0.042976903769562744,0.09668018602712287,-0.18433158228113214,0.16192750162795747,0.013193981122134978,0.11253913745803092,-0.15399017499071704,0.15975689168656393,0.13383980898632516
1257,three_musketeers,The Three Musketeers,Adventure,2293,0.1279344723141308,0.22973091869088524,0.053438404648744366,0.22934505167570352,0.11446142131940376,-0.3400592217044777,0.02356020942408377,0.018228726993598014,0.1128119440974428,-0.054617893851551066,0.16841186736474695,-0.00012896359340493668,0.10300371227800136,-0.13848248288379417,0.1980802792321117,0.05766799461748004,0.08884436439506467,0.3337339701600415,0.18106457242582896,0.02936081595579142,0.09383029420639072,-0.22509344521996644,0.17277486910994763,0.14877835951134383
1260,jane_eyre,Jane Eyre,Gothic,1852,0.13610538975074798,0.24848971841305895,0.05961104977139703,-0.12344016347555183,0.09336566003165986,0.27020574601426334,0.09130199891950297,0.13197532891583494,0.11890912472882074,-0.038846374520940787,0.10642895732036736,-0.005139176798159695,0.10490759854138582,-0.08908134645486136,0.2225823878984333,0.036918281778677106,0.09912813539803478,0.37394713875256735,0.1836844948676391,-0.005992951356357298,0.09589907268883344,-0.1311193599325042,0.18962722852512157,0.15872501350621288
1342,pride_prejudice,Pride and Prejudice,Romance,1272,0.09710077177895443,0.17822708244027724,0.044286875396326156,-0.1432703674299373,0.0620223687822823,-0.06255181612357574,0.023603461841070025,0.3440179250806383,0.07765853546147755,-0.0009124658848331496,0.0015735641227380016,0.15124921989151272,0.0654135668925868,0.017111905102891803,0.020456333595594022,0.06357704111193337,0.06102719358401108,0.2474600723370076,0.13532651455546812,0.056568279016013225,0.06817345134305151,-0.11119926396464992,0.12273800157356413,0.060739575137686866
1513,romeo_juliet,Romeo and Juliet,Tragedy,258,0.11007019165902188,0.19335120590552082,0.04346946558052532,0.06059376217511504,0.06861043904939886,0.02077385943564991,0.14007782101167315,0.22212636268647143,0.08703214857490778,0.02028808390035721,0.007782101167315175,-0.10320965080096046,0.07821957652331545,-0.25995955581336133,0.07782101167315175,0.08674140833318233,0.056869834843197936,0.03261639530932447,0.07782101167315175,0.02168017209962357,0.09373373870626947,-0.5549358383300285,0.15953307392996108,0.09260700389105059
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,1044,0.13505119168612897,0.24408851886893757,0.058162509717318754,-0.1030479595903664,0.07960778445237829,-0.15557284347784256,0.06711409395973154,0.022325770665402613,0.11062166748191228,0.0679408088511826,0.18791946308724833,0.14800648582551515,0.09999917375258417,-0.2048553769213037,0.05752636625119847,-0.16906887899470513,0.09113549522289455,0.18492873627875786,0.0364333652924257,-0.18747401918673537,0.11476884550976305,0.2153197848904802,0.059443911792905084,0.08168744007670183
