book_id,processed_dir,title,genre_primary,pc,corr_pc_position,perm_pvalue,perm_qvalue
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,PC1,0.4598031490027309,0.000999000999000999,0.0018163654527290892
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,PC2,0.1724763273533358,0.005994005994005994,0.011988011988011988
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,PC3,0.2761313522938814,0.000999000999000999,0.001998001998001998
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,PC4,0.40741150169906193,0.000999000999000999,0.0014271442842871413
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,PC5,-0.2547274055592028,0.000999000999000999,0.0015369246138476908
16,peter_pan,Peter Pan,Fantasy,PC1,0.16435132604731073,0.000999000999000999,0.0018163654527290892
16,peter_pan,Peter Pan,Fantasy,PC2,-0.0709371388044691,0.13386613386613386,0.16733266733266733
16,peter_pan,Peter Pan,Fantasy,PC3,0.13853705735527364,0.003996003996003996,0.00666000666000666
16,peter_pan,Peter Pan,Fantasy,PC4,0.38355863370841653,0.000999000999000999,0.0014271442842871413
16,peter_pan,Peter Pan,Fantasy,PC5,-0.19473788528259217,0.000999000999000999,0.0015369246138476908
35,time_machine,The Time Machine,Sci-Fi,PC1,-0.034257680722581105,0.5464535464535465,0.6428865252394664
35,time_machine,The Time Machine,Sci-Fi,PC2,-0.3114698519216868,0.000999000999000999,0.00222000222000222
35,time_machine,The Time Machine,Sci-Fi,PC3,-0.31334757936873253,0.000999000999000999,0.001998001998001998
35,time_machine,The Time Machine,Sci-Fi,PC4,0.34593217122577047,0.000999000999000999,0.0014271442842871413
35,time_machine,The Time Machine,Sci-Fi,PC5,0.09979617000373142,0.06493506493506493,0.07639419404125286
36,war_worlds,The War of the Worlds,Sci-Fi,PC1,0.01898375701473284,0.6563436563436563,0.7292707292707292
36,war_worlds,The War of the Worlds,Sci-Fi,PC2,0.22355220592046735,0.000999000999000999,0.00222000222000222
36,war_worlds,The War of the Worlds,Sci-Fi,PC3,-0.1382708859141279,0.000999000999000999,0.001998001998001998
36,war_worlds,The War of the Worlds,Sci-Fi,PC4,0.04719465685952739,0.24875124875124874,0.27639027639027636
36,war_worlds,The War of the Worlds,Sci-Fi,PC5,-0.03051565751797004,0.4785214785214785,0.5037068194962933
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,PC1,0.24393557816579925,0.000999000999000999,0.0018163654527290892
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,PC2,-0.29541020694398984,0.000999000999000999,0.00222000222000222
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,PC3,-0.4348280687198151,0.000999000999000999,0.001998001998001998
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,PC4,0.5631637512261559,0.000999000999000999,0.0014271442842871413
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,PC5,-0.1455998784084789,0.02097902097902098,0.027972027972027972
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,PC1,0.3716146096141188,0.000999000999000999,0.0018163654527290892
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,PC2,-0.04077210825003985,0.4305694305694306,0.47841047841047846
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,PC3,0.006555925035798629,0.8931068931068931,0.8931068931068931
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,PC4,-0.07709546200992921,0.13086913086913088,0.15396368337544808
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,PC5,0.02293620039748146,0.6233766233766234,0.6233766233766234
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,PC1,-0.036761668492062353,0.3146853146853147,0.39335664335664333
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,PC2,-0.04455767984530685,0.22477522477522477,0.26444144091202915
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,PC3,-0.1843575180063207,0.000999000999000999,0.001998001998001998
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,PC4,0.30883511414294196,0.000999000999000999,0.0014271442842871413
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,PC5,-0.1745927185097223,0.000999000999000999,0.0015369246138476908
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,PC1,-0.3358069961592827,0.000999000999000999,0.0018163654527290892
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,PC2,-0.0810896538128112,0.03496503496503497,0.04995004995004996
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,PC3,0.012261578533473597,0.7582417582417582,0.7981492192018508
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,PC4,0.2549593413378366,0.000999000999000999,0.0014271442842871413
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,PC5,-0.15467780086412414,0.000999000999000999,0.0015369246138476908
113,secret_garden,The Secret Garden,Children's Fiction,PC1,0.21056200536966838,0.000999000999000999,0.0018163654527290892
113,secret_garden,The Secret Garden,Children's Fiction,PC2,-0.253307667315807,0.000999000999000999,0.00222000222000222
113,secret_garden,The Secret Garden,Children's Fiction,PC3,-0.13786006267069448,0.000999000999000999,0.001998001998001998
113,secret_garden,The Secret Garden,Children's Fiction,PC4,-0.07556279778385805,0.03496503496503497,0.04370629370629371
113,secret_garden,The Secret Garden,Children's Fiction,PC5,-0.294616640313703,0.000999000999000999,0.0015369246138476908
120,treasure_island,Treasure Island,Adventure,PC1,0.1166908636398847,0.002997002997002997,0.004995004995004995
120,treasure_island,Treasure Island,Adventure,PC2,-0.24501106666322267,0.000999000999000999,0.00222000222000222
120,treasure_island,Treasure Island,Adventure,PC3,-0.07907313848255113,0.03396603396603397,0.04852290566576282
120,treasure_island,Treasure Island,Adventure,PC4,0.16707814770570031,0.000999000999000999,0.0014271442842871413
120,treasure_island,Treasure Island,Adventure,PC5,-0.07420169715128527,0.058941058941058944,0.07367632367632368
175,phantom_opera,The Phantom of the Opera,Gothic,PC1,-0.07513132349220113,0.024975024975024976,0.03567860710717854
175,phantom_opera,The Phantom of the Opera,Gothic,PC2,-0.5011970513052486,0.000999000999000999,0.00222000222000222
175,phantom_opera,The Phantom of the Opera,Gothic,PC3,-0.022936002840567217,0.5004995004995005,0.5888229417641183
175,phantom_opera,The Phantom of the Opera,Gothic,PC4,0.14882295707911491,0.000999000999000999,0.0014271442842871413
175,phantom_opera,The Phantom of the Opera,Gothic,PC5,-0.10814402490391017,0.001998001998001998,0.0028542885685742827
345,dracula,Dracula,Horror,PC1,0.14518038486090157,0.000999000999000999,0.0018163654527290892
345,dracula,Dracula,Horror,PC2,-0.1110393787429853,0.000999000999000999,0.00222000222000222
345,dracula,Dracula,Horror,PC3,-0.05930529982173333,0.017982017982017984,0.027664643049258437
345,dracula,Dracula,Horror,PC4,0.15557602830934944,0.000999000999000999,0.0014271442842871413
345,dracula,Dracula,Horror,PC5,-0.28396106254885667,0.000999000999000999,0.0015369246138476908
521,robinson_crusoe,Robinson Crusoe,Adventure,PC1,0.2241235397167887,0.000999000999000999,0.0018163654527290892
521,robinson_crusoe,Robinson Crusoe,Adventure,PC2,0.12172403740029196,0.000999000999000999,0.00222000222000222
521,robinson_crusoe,Robinson Crusoe,Adventure,PC3,0.03934375268855254,0.1928071928071928,0.241008991008991
521,robinson_crusoe,Robinson Crusoe,Adventure,PC4,-0.06576844013697766,0.022977022977022976,0.030636030636030636
521,robinson_crusoe,Robinson Crusoe,Adventure,PC5,-0.17986280515222733,0.000999000999000999,0.0015369246138476908
768,wuthering_heights,Wuthering Heights,Gothic,PC1,0.08649871770141358,0.003996003996003996,0.006147698455390763
768,wuthering_heights,Wuthering Heights,Gothic,PC2,0.07538755607919605,0.016983016983016984,0.028305028305028308
768,wuthering_heights,Wuthering Heights,Gothic,PC3,-0.045872300896969996,0.10789210789210789,0.14385614385614384
768,wuthering_heights,Wuthering Heights,Gothic,PC4,-0.002212677447794306,0.942057942057942,0.942057942057942
768,wuthering_heights,Wuthering Heights,Gothic,PC5,-0.052658995029164754,0.08691308691308691,0.09657009657009658
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,PC1,0.005010496428106069,0.7272727272727273,0.7562437562437563
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,PC2,0.33298569263094935,0.000999000999000999,0.00222000222000222
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,PC3,-0.12963098482469387,0.000999000999000999,0.001998001998001998
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,PC4,-0.18433158228113214,0.000999000999000999,0.0014271442842871413
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,PC5,-0.15399017499071704,0.000999000999000999,0.0015369246138476908
1257,three_musketeers,The Three Musketeers,Adventure,PC1,-0.3400592217044777,0.000999000999000999,0.0018163654527290892
1257,three_musketeers,The Three Musketeers,Adventure,PC2,-0.054617893851551066,0.008991008991008992,0.016347289074561802
1257,three_musketeers,The Three Musketeers,Adventure,PC3,-0.13848248288379417,0.000999000999000999,0.001998001998001998
1257,three_musketeers,The Three Musketeers,Adventure,PC4,0.3337339701600415,0.000999000999000999,0.0014271442842871413
1257,three_musketeers,The Three Musketeers,Adventure,PC5,-0.22509344521996644,0.000999000999000999,0.0015369246138476908
1260,jane_eyre,Jane Eyre,Gothic,PC1,0.27020574601426334,0.000999000999000999,0.0018163654527290892
1260,jane_eyre,Jane Eyre,Gothic,PC2,-0.038846374520940787,0.09490509490509491,0.12654012654012656
1260,jane_eyre,Jane Eyre,Gothic,PC3,-0.08908134645486136,0.001998001998001998,0.0036327309054581783
1260,jane_eyre,Jane Eyre,Gothic,PC4,0.37394713875256735,0.000999000999000999,0.0014271442842871413
1260,jane_eyre,Jane Eyre,Gothic,PC5,-0.1311193599325042,0.000999000999000999,0.0015369246138476908
1342,pride_prejudice,Pride and Prejudice,Romance,PC1,-0.06255181612357574,0.026973026973026972,0.03596403596403596
1342,pride_prejudice,Pride and Prejudice,Romance,PC2,-0.0009124658848331496,0.9790209790209791,0.979020979020979
1342,pride_prejudice,Pride and Prejudice,Romance,PC3,0.017111905102891803,0.5504495504495505,0.6116106116106116
1342,pride_prejudice,Pride and Prejudice,Romance,PC4,0.2474600723370076,0.000999000999000999,0.0014271442842871413
1342,pride_prejudice,Pride and Prejudice,Romance,PC5,-0.11119926396464992,0.000999000999000999,0.0015369246138476908
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC1,0.02077385943564991,0.7562437562437563,0.7562437562437563
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC2,0.02028808390035721,0.7522477522477522,0.7918397392081602
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC3,-0.25995955581336133,0.000999000999000999,0.001998001998001998
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC4,0.03261639530932447,0.6143856143856143,0.6467216993532783
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC5,-0.5549358383300285,0.000999000999000999,0.0015369246138476908
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC1,-0.15557284347784256,0.000999000999000999,0.0018163654527290892
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC2,0.0679408088511826,0.03296703296703297,0.04995004995004996
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC3,-0.2048553769213037,0.000999000999000999,0.001998001998001998
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC4,0.18492873627875786,0.000999000999000999,0.0014271442842871413
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC5,0.2153197848904802,0.000999000999000999,0.0015369246138476908
